Run,Model,Dataset,Language,Task,Precision,Recall,F1,Accuracy
run_20250305_141646,my_gemma_2:latest,csabstruct,en,few-shot-4,34.68,41.73,36.87,52.34
run_20250305_143407,my_gemma_2:latest,csabstruct,en,few-shot-8,34.77,42.15,37.22,53.82
run_20250305_144911,my_gemma_2:latest,csabstruct,en,few-shot-16,39.11,46.82,42.12,58.86
run_20250305_150439,my_gemma_2:latest,csabstruct,en,few-shot-32,32.49,41.58,35.84,53.15
run_20250305_153237,my_llama_31:latest,csabstruct,en,few-shot-2,29.85,39.32,33.67,49.3
run_20250305_154815,my_llama_31:latest,csabstruct,en,few-shot-4,28.15,36.78,31.53,48.55
run_20250305_160156,my_llama_31:latest,csabstruct,en,few-shot-8,28.99,38.61,32.77,49.22
run_20250305_161538,my_llama_31:latest,csabstruct,en,few-shot-16,25.31,34.37,28.69,45.89
run_20250305_163015,my_llama_31:latest,csabstruct,en,few-shot-32,20.98,29.28,24.08,38.62
run_20250305_200012,my_mistral_nemo:latest,csabstruct,en,few-shot-2,32.51,41.44,36.06,54.86
run_20250305_202045,my_mistral_nemo:latest,csabstruct,en,few-shot-4,32.84,42.01,36.5,52.41
run_20250305_204112,my_mistral_nemo:latest,csabstruct,en,few-shot-8,36.36,45.83,40.2,56.34
run_20250305_210118,my_mistral_nemo:latest,csabstruct,en,few-shot-16,31.27,38.76,34.29,51.3
